galaxy_id,galaxy_ra,galaxy_dec,galaxy_z,galaxy_gmag,galaxy_rmag,galaxy_imag,galaxy_ellipticity,galaxy_PA,galaxy_Einstein_radius,galaxy_velocity_dispersion,galaxy_shear,galaxy_shearPA,source_x,source_y,source_gmag,source_rmag,source_imag,source_zmag,source_ymag,source_redshift,source_magnification,image_count
43158867932126233,149.95350854957613,2.118020476490235,0.6652588,23.622482,22.490337,21.392824,0.6112724226017803,225.28193556464709,0.7506396739561819,225.2538993158034,0.014070695562572708,26.371138157381015,-0.18721492944277512,1.3468167157033362,25.356545898690744,24.734957975597357,24.345385463329364,23.944538441767616,23.663150720534002,1.7865876033715908,2.0943377392157365,4.0
43158189327287332,150.86336734807512,2.453524229908737,0.25235766,21.08252,19.658323,19.029074,0.5537444170137035,-33.65644113352187,0.620886928959506,169.39037140476248,0.01798462842330322,175.96261540617934,1.1870431348657484,0.26990684430355316,24.217971915945533,23.59661035592685,23.046560670643693,22.312026154720755,21.76546162313288,1.30551766844431,5.013399665782287,4.0
42094274388460647,151.0429176049274,1.015289579121169,0.6959789,23.631033,21.949324,20.568699,0.0417890087649459,-20.911159506597254,0.8702180710393902,219.97276931462943,0.01484886519105023,147.12737289475535,-1.8696948640918403,0.13137472396483563,24.80711241301479,23.891906644839256,23.695012662222044,23.571418816422682,23.65269928036852,3.124768119428859,1.767059691650067,2.0
44222787165884853,150.4288100069169,3.750594580824727,0.70613354,23.956364,22.704975,21.429796,0.2063495602897239,18.997016658389413,0.720422117645133,202.93548580375736,0.007979224682181471,68.36834316693852,-0.6309726307758764,0.27023973207388463,24.2390434533458,23.68141643255548,23.55265676547286,23.49604578735996,23.54309593714192,2.9147624824184777,3.219346381529615,2.0
42688006372483298,351.0869463781611,0.7774902161003862,0.561275,23.186329,21.608183,20.557495,0.1072343985467649,-44.15290918633886,0.7283645865359256,202.2751496604912,0.015479938450002104,24.741039471684033,0.0897794677260734,0.17666020423366194,27.08185059220148,26.312109471791462,25.96088705175802,25.321499039935677,24.701666912135796,2.109872081893068,16.946302507985774,4.0
43163119949738051,151.6029008433639,1.6901407475252137,1.038056,23.885586,22.721748,21.421368,0.1528901524242626,247.1056612484389,0.7595748515077471,235.03384795604322,0.014807231817693434,41.66548372308474,-1.1457459335980862,0.22847575944262943,25.251104284507534,24.561226938749698,24.333501056257305,24.21989674409751,24.324883507044106,3.0288555417108944,3.847150887051818,2.0
43153653841816989,149.4539571800411,2.417183948770788,0.5105007,22.704647,21.128887,20.221653,0.294865929857116,-44.19478748604135,0.8305989546859187,217.19953766309723,0.013957489747531138,165.95112153009373,-0.3848268994139365,0.6001354716761043,25.363436253706833,24.881997014334086,24.503360973652942,24.134905323387127,23.781638784241718,1.7765308832631383,5.853835531345348,3.0
42691996397107372,353.2113495440893,0.9878975048160978,0.8941831,24.55172,22.583387,21.292866,0.0153317216345123,28.866991490362764,0.5687635434450726,195.96526663049758,0.011599655842269366,144.44095519082356,-1.0362965894572664,0.25251329794154936,25.81529197502889,25.293350018586068,25.008262542462788,24.876327295949572,24.77208771703583,2.779137382808463,2.3017653704551577,2.0
43158584464276473,150.27381007565998,1.6935973580033112,0.58248305,23.146135,21.690496,20.754549,0.1025394451345029,249.55604135378172,0.6771459289358107,207.92316428933745,0.011938808060365454,6.852023000049849,1.6753012182718674,-0.7885010357778572,24.38670846129349,24.17350861571739,23.916230802751073,23.774084504740802,23.351646702601638,1.650598794460928,1.622761596423259,2.0
42692941289909565,351.9077489675461,0.1765354037764156,0.23431966,20.78426,19.234898,18.494823,0.1139502835969389,42.82210242151461,0.5089123986240014,143.25918308428683,0.003008314790936736,94.24754031570168,1.2076514872723212,-0.348282572639929,24.26422047020215,23.466156428128787,23.246500559185662,23.101843188039805,23.08094347172518,3.1899011379455975,1.6711829495213495,2.0
44227314061420374,151.6870061662318,3.292866105778347,0.8896824,24.528625,23.032146,21.592606,0.2507027931748211,29.89091517751138,0.6038444842481792,198.28745886678442,0.01873255213286908,78.58100724338671,0.7213309774255016,-0.27587042661950006,25.696919160672696,24.87158933099384,24.482929642507784,24.245806731032946,24.146115965723713,2.997132854389434,2.5712785968748024,2.0
43158597349186901,150.324734881223,2.305837766019561,0.85114336,22.783886,21.849636,21.151365,0.2136975551845532,-5.28647620521653,0.9982704870067008,251.18713415719202,0.017249694209744256,94.25254943663161,-2.4028631418228383,-1.7108154932198822,26.05843794967606,25.099154562837047,24.806885155834383,24.618413682418247,24.624126031628347,2.9989639031353574,1.026303581306711,2.0
42090009485906320,149.39650062894378,0.7610148323948065,0.72747725,23.538479,22.565437,21.556473,0.3268395052695944,266.38092730238856,0.7247302937623951,216.23070688484998,0.002496571297595704,13.745442983534872,1.2338970382885839,1.1917550069109324,24.611183356308217,24.178445696069247,23.973050129113446,23.780005800529906,23.584799018124336,2.2239962544035135,1.3323624399148235,2.0
42090430392718537,148.92233268848824,1.0518257166920837,1.0087594,24.63658,23.531649,21.860777,0.0976218169203474,227.88439890868585,0.5135993143996864,187.0112309249504,0.011782662845559722,109.95053783529163,0.8038486181524727,-0.5410624611205574,27.83440564492144,26.275504528651837,25.854259559901628,25.581100330108235,25.46436868341553,3.3287428370399095,3.0275831939418123,2.0
43163394827646171,151.13416348173973,1.6652372582685695,0.66490906,24.023712,22.432268,21.178898,0.2036484307807144,242.3186896732385,0.6069390745722238,184.04130821873545,0.0028175959429235266,12.072497247719769,-0.782560630028599,-1.155527512937358,25.241025721221508,24.69332060571656,24.48999071803386,24.468232715280887,24.37418871000939,2.8438798723202785,1.217060080813586,2.0
43153911539860246,149.22256130830107,1.6939186324892843,0.9607167,23.824987,22.979017,22.141178,0.2211430335904884,-30.732054362858943,0.5485696018455435,222.8635969122477,0.0056276186056537815,64.77594269896426,-0.030370067833571466,-0.04400951478342147,24.967300481477874,24.91656328921088,24.948739003906674,24.89639728896726,24.918427853890787,1.9698439298981538,5.895016204504453,4.0
42697352221318713,353.36142045650365,0.711176881112887,0.53829277,23.004595,21.344702,20.368076,0.1198855951213546,-14.00519697267599,0.8318896587584855,208.0983155792517,0.01901947753190494,1.9508001014689835,0.7378875032835357,0.6683365228832081,26.70308438349762,26.30597604867972,25.899189379804188,25.809904222940215,25.411245697559405,2.547048556980814,5.119192200282171,2.0
42697064458515980,353.6549006961944,0.2470490170115513,0.7322981,24.280352,22.720184,21.32724,0.1020611792584631,-58.32507779757606,0.5131191419811979,166.04323686555762,0.004154648041272419,2.717561614120043,-0.7400510782487593,-0.6887535750962079,27.25198150354767,25.407499604014546,25.077029455289505,25.010416152288414,24.97633608341455,3.9638496454187853,2.7870584151681013,2.0
42697064458515705,353.76231577339485,0.2422233172518703,1.041765,23.354368,23.043957,22.981632,0.1283401185213348,-73.64239402024225,0.6193045048122919,227.12568806932,0.009590940815393065,145.51642281299678,1.7336257271915454,-0.2784960188791563,25.04523865326907,24.992208464574116,24.845285491287857,24.79270156624626,24.6229659802496,2.4365455595632723,1.4833022772522078,2.0
44218517968409239,148.75619991254578,3.269881818293822,0.72264063,24.201294,22.324999,21.06897,0.3754098542911783,-16.02502099797094,0.563591294420897,181.25111662743566,0.013669713911867755,170.57968803709488,0.8801813306756043,0.1992094387884086,23.332537815547173,24.38974850626919,24.183602487703137,24.14827437487094,24.080651838000993,2.852150880638704,1.4606311041475417,2.0
42687460911638081,351.8410775153207,0.920110795750518,0.73242176,24.004827,22.192091,20.753197,0.1366013797594759,16.788448955474237,0.559348545186323,183.58390141812114,0.00440974026222406,38.528174206864,-0.3726067005381834,-0.44663836273870944,25.128035626561207,24.72362319910261,24.48835866235274,24.414454575470714,24.31069760691412,2.650606250062715,3.707149283294708,2.0
43154066158673211,148.99228197713458,2.4109577287928485,1.0517315,24.244001,23.532784,22.448843,0.1920574797770601,236.57077848575855,0.5524840372032958,197.21418542246798,0.007094565917411114,1.8410482667933725,0.29188981797316516,-0.87063721789598,26.814055396311108,25.501082764715637,25.17809451102684,24.986595145372892,24.824154823109655,3.311785161572227,2.557914462898044,2.0
